peaks,gaussian peaks,lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
285.0,285.4537048339844,5326.8505859375,Hg,,4MOST,10.420989990234377,,,,,
369.0,369.4253845214844,5355.1787109375,Hg,,4MOST,29.498823165893555,,,,,
398.0,399.4914855957031,5365.5,Hg,1.0,4MOST & NIST,28.77231979370117,12,5365.38,0.1,0.06,0.12
457.0,459.495361328125,5385.56884765625,Hg,,4MOST,15.478758811950684,,,,,
517.0,518.34033203125,5405.423828125,Hg,,4MOST,24.8641357421875,,,,,
549.0,550.3997192382812,5416.240234375,Hg,,4MOST,19.4492244720459,,,,,
682.0,682.6280517578125,5460.75,Hg,1.0,4MOST & NIST,70542.5,6000,5460.7498,0.001,0.0009,0.0002
744.0,741.224853515625,5480.6044921875,Hg,,4MOST,130.70411682128906,,,,,
803.0,801.4036254882812,5500.8916015625,Hg,,4MOST,37.13822937011719,,,,,
944.0,943.6947631835938,5548.83056640625,Hg,,4MOST,25.511913299560547,,,,,
964.0,961.9463500976562,5554.97607421875,Hg,,4MOST,19.406801223754883,,,,,
988.0,987.6141967773438,5563.61767578125,Hg,,4MOST,18.89548683166504,,,,,
1044.0,1042.9808349609375,5582.2509765625,Hg,,4MOST,17.472400665283203,,,,,
1062.0,1061.7332763671875,5588.560546875,Hg,,4MOST,16.713092803955078,,,,,
1098.0,1097.884521484375,5600.72021484375,Hg,,4MOST,15.985651016235352,,,,,
1166.0,1166.3157958984375,5623.7275390625,Hg,,4MOST,16.039506912231445,,,,,
1260.0,1260.4219970703125,5655.34130859375,Hg,,4MOST,14.50177001953125,,,,,
1322.0,1321.6639404296875,5675.81,Hg,1.0,4MOST & NIST,131.74057006835938,600,5675.88,0.08,0.04,-0.07
1395.0,1394.2178955078125,5700.2353515625,Hg,,4MOST,16.7149715423584,,,,,
1444.0,1443.09033203125,5716.6171875,Hg,,4MOST,20.69102096557617,,,,,
1482.0,1483.759521484375,5730.24267578125,Hg,,4MOST,25.626415252685547,,,,,
1601.0,1601.441162109375,5769.61,Hg,1.0,4MOST & NIST,62170.91796875,1000,5769.6095,0.001,0.001,0.0005
1665.0,1664.693359375,5790.67,Hg,1.0,4MOST & NIST,60272.140625,900,5790.6705,0.001,0.001,-0.0005
1704.0,1704.49365234375,5803.782,Hg,1.0,4MOST & NIST,421.61279296875,400,5803.783,0.005,0.004,-0.001
1745.0,1744.780517578125,5818.3,Hg,1.0,4MOST & NIST,71.75079345703125,2,5818.32,0.1,0.07,-0.02
1783.0,1779.893798828125,5829.2509765625,Hg,,4MOST,32.75792694091797,,,,,
1872.0,1872.109375,5859.254,Hg,1.0,4MOST & NIST,73.3597183227539,130,5859.254,0.005,0.005,0.0
1909.0,1910.2652587890625,5871.975,Hg,1.0,4MOST & NIST,32.5883674621582,600h,,0.003,,
1964.0,1962.9437255859373,5890.2,Hg,1.0,4MOST & NIST,56.36690521240234,12,5890.17,0.1,0.07,0.03
2001.0,2001.24951171875,5903.00830078125,Hg,,4MOST,14.160484313964844,,,,,
2179.0,2179.956298828125,5962.38818359375,Hg,,4MOST,10.64426040649414,,,,,
2514.0,2513.470703125,6072.64,Hg,1.0,4MOST & NIST,60.21768569946289,30,6072.66,0.1,0.06,-0.02
2667.0,2667.3525390625,6123.27,Hg,1.0,4MOST & NIST,80.52953338623047,3,6123.25,0.05,0.05,0.02
3005.0,3004.627685546875,6234.36,Hg,1.0,4MOST & NIST,113.49478149414062,50,6234.35,0.1,0.05,0.01
3172.0,3171.44091796875,6288.8193359375,Hg,,4MOST,10.833513259887695,,,,,
3303.0,3303.053955078125,6331.72314453125,Hg,,4MOST,10.407045364379885,,,,,
3394.0,3393.359375,6361.0966796875,Hg,,4MOST,10.5453462600708,,,,,
3517.0,3516.353759765625,6401.0146484375,Hg,,4MOST,10.25056266784668,,,,,
4501.0,4501.11181640625,6716.34,Hg,1.0,4MOST & NIST,73.92195129394531,600,6716.36,0.1,0.07,-0.02
5112.0,5111.984375,6907.83544921875,Hg,,4MOST,377.523193359375,,,,,
